actual0  ,0.719,0.930,0.782,0.713,0.257,0.920,0.991,0.725,0.468,0.850
actual1  ,0.261,0.479,0.195,0.110,0.563,0.508,0.686,0.188,0.126,0.352
selected0,0.272,0.078,0.880,0.083,0.275,0.998,0.568,0.258,0.235,0.890
selected1,0.852,0.000,0.222,0.758,0.867,0.732,0.968,0.857,0.445,0.250
